,Region,Name,Height
167,KARJAT, Sankshi Fort ,800.0
169,ROHA,Avchitgad,977.0
7,DHULE,Songir fort,997.0
174,ROHA,Songiri,1000.0
171,ROHA, Tala Fort ,1000.0
168,KARJAT, Sondai Fort ,1200.0
162,KARJAT,Irshalgad Fort ***,1213.0
170,ROHA, Ghosalgad Veergad ,1222.0
175,MANDANGAD, Sagargad Fort ,1357.0
86,LONAVALA,Sarasgad Fort,1433.0
172,ROHA,Surgad Fort,1507.0
152,PALGHAR,Tandulwadi,1524.0
165,KARJAT, Karnala Fort ,1538.0
154,PALGHAR,Kaldurg,1550.0
71,BHIMASHANKAR,Peth Fort - Kothaligad Fort,1550.0
160,KARJAT, Peb Fort - Vikatgad *** ,1564.0
41,NASHIK,Bhupatgad,1603.0
176,MANDANGAD,Mandangad,1606.0
150,PALGHAR,Asherigad Fort***,1680.0
111,MAHABALESHWAR,Rasalgad ***,1767.0
173,ROHA,Birwadi,1799.0
149,PALGHAR,Adsul***,1826.0
166,KARJAT, Manikgad Fort,1876.0
151,PALGHAR,Kohoj Fort,1889.0
8,DHULE,Laling fort,1945.0
9,DHULE,Galna fort,1968.0
143,KOLHAPUR-SOUTH,"Kalanandigad,Pargad",2000.0
70,BHIMASHANKAR,Padar Fort***,2002.0
72,BHIMASHANKAR,Tungi,2019.0
87,LONAVALA,Kurdugad,2021.0
82,LONAVALA, Sudhagad Fort - Bhorapgad,2030.0
30,MANMAD,Gorakhgad Fort ***,2116.0
104,BHOR,Kavlya,2124.0
67,BHIMASHANKAR,Gorakhgad Fort,2137.0
177,MANDANGAD,Palgad/Paldurga,2160.0
148,KOLHAPUR-SOUTH,Hargapurgad,2250.0
153,PALGHAR,Gambhirgad,2252.0
101,BHOR,Chandragad Fort - Dhavlya - Arthur Seat Trel,2257.0
164,KARJAT,Kalavantin Durg Fort,2318.0
163,KARJAT,Prabalgad Fort,2318.0
73,LONAVALA,Dhak Bahiri Caves - Bhimgad ***,2320.0
13,DHULE,Bhamer fort,2443.0
141,KOLHAPUR-SOUTH,Mansantosh,2460.0
102,BHOR,Mangalgad / Kangori,2465.0
10,DHULE,Kankrala Fort,2476.0
140,KOLHAPUR-SOUTH,Manohar/Manohargag***,2500.0
161,KARJAT, Matheran ,2516.0
81,LONAVALA, Ghangad Fort ***,2565.0
159,KARJAT, Chanderi Fort *** ,2592.0
128,KARAD,Machchhindragad,2595.0
158,KARJAT,Shri Malanggad Fort ***,2596.0
137,KOLHAPUR,Vishalgad,2598.0
155,PALGHAR,Takmak,2616.0
31,MANMAD,Antur Fort,2700.0
74,LONAVALA,Rajmachi Fort,2710.0
56,JUNNAR,Naneghat Caves,2724.0
156,SHAHAPUR,Mahuli Fort,2785.0
29,MANMAD,Tankai,2788.0
112,MAHABALESHWAR,Sumargad,2801.0
130,KARAD,Gunwantgad/Morgiri,2819.0
92,PUNE,Raigad Fort,2829.0
61,JUNNAR,Bhairavgad Fort Moroshi ***,2835.0
139,KOLHAPUR-SOUTH,Rangna,2867.0
64,JUNNAR,Narayangad,2872.0
127,KARAD,Vasantgad,2950.0
123,SATARA,Varugad Fort,2952.0
122,SATARA,Santoshgad Fort,2965.0
91,PUNE, Lingana Fort ***,2979.0
46,IGATPURI,Kavnai Fort,2998.0
134,KOYNA,Bhairavgad,3004.0
